rating,review_title,review_content,travel_date,legroom,seat_comfort,inflight_entertainment,customer_service,value_for_money,cleanliness,checkin_and_boarding,food_and_beverage
4,Rescheduled flight but no problems.,"Enjoyed the flight although it had been rescheduled some months earlier and we didn't depart Brisbane until 6.45pm./ Didn't have to worry about luggage as it had been routed through to final destination. Another DASH 8 400 and seated in 8A & 8B. Comfortable and roomy seats, tasty inflight snack, friendly cabin crew and great info from the pilot. Baggage on the carousel when we arrived in the terminal and we were quickly on route to our hotel.",May 2024,5,5,-1,5,5,5,5,-1
4,Great tail wind,Short wait at Longreach while passengers disembarked and others boarded. Remained in our seats 8C & 8D and soon in flight to Brisbane. Great cabin crew and interaction with passengers. Must have had a strong following wind as we arrived in Brisbane some 20 minutes before schedule by my reckoning.,May 2024,5,4,-1,5,5,5,5,-1
4,Comfortable short flight,"Arrived Barcaldine Airport somewhat early for the flight having checked in online. Staff issued new boarding passes and handled the luggage efficiently, booking it through to final destination, Canberra. Seats 8C & 8D very comfortable, plenty of legroom on the DASH 8",May 2024,5,4,-1,5,5,5,5,-1
4,Comfortable Dash 8 flight,"Early morning flight ex Brisbane to Barcaldine on the DASH 8 400 in seats 10C & 10D. Check-in online straightforward, great assistance with luggage at the airport, comfortable seating, adequate legroom, pleasant cabin crew and tasty inflight snack. Good information from the cockpit throughout the flight. Luggage available soon after landing.",May 2024,5,4,-1,5,5,5,5,-1
4,Comfortable flight & on time,"Heading to QLD for a holiday and booked our flights using a combination of cash and FF points. Seated in 9B & 9C, efficient online check-in, staff at airport very helpful with luggage. All good with boarding, comfortable seats but no window in the row on our side of cabin. Pleasant onboard service, good information from cockpit and cabin crew. Disembarkation very good and baggage quickly available. Enjoyed the movie on the Boeing 737-800",May 2024,5,4,4,5,5,5,5,4
2,A little booking scam exposed,"When booking, Qantas pretend to book you on the lunchtime flight from SYD to AKL however, this is the third time we've been bumped from this flight and had to spend 6~8 hours at SYD airport before we could get a flight to NZ. The booking, in our case AKL-SYD-TOK rtn, always tells you that on he return leg, you get a 2 hour transit in SYD. But inevitably you get an email a week or so later saying schedule is changed to a late afternoon, early evening flight. NOT what you want to hear coming off a long haul. Hopefully, now that this little scam has been exposed, folks will get the flights they sign up to in the first place. Sorry, Qantas, but no next time for us.",June 2024,3,3,2,3,3,3,3,2
5,Baby Bassinet Is Key Perk! Great Service and Love Qantas,"Bassinet was amazing for our 3.5 month old baby. We would not have gone on the flight if Qantas had not reserved us a bassinet. Qantas came through for us and the baby slept in it 11-12 hours way. We bottle fed him during takeoffs and landings when babies are not allowed in the bassinet during those. Very nice flight attendants and arguably twice as good as ones on United Airlines, American Airlines, Jetblue or Southwest.",May 2024,5,4,4,5,5,5,5,5
1,Worst airline ever and we haven't even flown yet,"Haven't gotten on a plane yet and Quantas is already the worst airline we've encountered .. and that says a lot. They've already cost us a day at our destination despite not leaving until this coming Wednesday. How they know they're going to be delayed significantly 4 days before the flight is baffling. Their ""help"" is anything but. It is clear that they absolutely do not care. If they are ""the Spirit of Australia"" it doesn't say much for Australia.",June 2024,-1,-1,-1,-1,-1,-1,-1,-1
1,Qantas Sucks!,"Worst airline!

Tried s many times to get help and upgrade. All I got was lies and no help. Totally willing to pay $ but they would rather fly empty than help their customers. Will never fly with them again!",June 2024,-1,-1,-1,-1,-1,-1,-1,-1
1,Poorly handled!!!,poorly handled service delayed our flight and doesn’t take any responsibility to provide us with any help whatsoever that was caused by the delay. avoid flying with quanta’s as much as possible.!!!,June 2024,-1,-1,-1,1,-1,-1,-1,-1
1,Qantas Cancelled again - no are & no responsibility,"Qantas is 2-4-2 this month. It again cancelled our flight. The most disappointing thing was the constant lies told by the Qantas staff. We where already on airside and we told we had been rebooked. We had to go out through customs, pick up our bags and when trying to book back on found that there was no rebooking - just a lie to get us back out of airside. Now and entire flightis trying to get rebooked. Reasons give - changes so a maintenance problem has now become a weather event (not our problem)
Long or shorthall - no care & no responsibility so avoid this airline.",May 2024,1,1,1,1,1,-1,1,-1
5,Qantas Outstanding,"Travelled on May 9th 2024 Non Stop to Perth.Absolutely amazing, aircraft spotless inside,entertainment and charging points all working.The seat i had was 52F was very comfortable and plenty of leg room.The cabin crew were outstanding nothing was too much trouble.The Dreamliner is a 3x3x3 config in economy which is perfect.The cabin temp was ideal throughout the flight as was the cabin air quality.Now for the food it was Outstanding (vegan vege) possibly the best i have ever had on long haul. The crew on this flight are a credit to the airline.I would have no hesitation in flying this route again with Qantas. I confirm this my opinion and are not connected anyway what so ever with the airline I confirm this review was in my own words and not prompted by any party",May 2024,4,5,5,5,5,5,5,5
1,extremely dissappointment and rude,"We booked the tickets from syd to shanghai 1.5 month ago through qantas website.
However, the hassle started :
1. After booking and paid the fare,Qantas cancelled all the airlines from Syd to china !
Which gave us a big headache and had to pay extra $2000 for 4 of our family members due to its cancellation.

This is so disappointing!

2.Whats worse is we are facing financial stress after paying extra $2000 on top of air fare , Qantas yet not refund us money till now ! it has been over 2 weeks we are still waiting for the refund !

3.As a royal customers of Qantas,We will never ever take Qantas again ! And will never ever recomend to our friends and family ! Shame on you Qantas !",May 2024,-1,-1,-1,-1,-1,-1,-1,-1
5,bravo whisky,"We travelled Qantas Airlines to Sydney first and then onto Auckland, New Zealand, we decided on Premium Economy which was nice but having also travelled economy on the Airbus A380 I am not to sure whether the extra for Premium was worth it. The service on the plane is brilliant, the food was excellent, the staff were all very professional and friendly . All in all a very positive experience.",June 2023,5,5,4,5,4,5,5,5
5,Very Good,it was very good and it's truly the spirit of Australia and the flight service was very nice we got to have some cheese and crackers,March 2024,5,5,5,-1,5,5,5,5
1,Poor customer handling,"My family who is none English speaking came to Australia to visit me in Australia, and on their way home they have got the worse experience of travelling they can possibly get.
Qantas flight was delayed over 2.5 hrs causing them to miss the connected flight, when they get off the flight they just been handed a useless piece of paper saying they have been rebooked onto Cathy pacific flight, without any boarding pass or booking reference. Then the ground floor stuff just took off, which my family has about an hour to find their own way to international airport. Then when they managed to get there, Cathy pacific told them there is no any information about the booking, I have trying to call qantas, they keep telling me they did book, and sending me some booking number that the Cathy staff cannot locate,but Cathy pacific also trying to call qantas to verified the booking, and cannot get through. Cathy pacific cannot hold off the flight any longer for someone who is not booked on the list. Then Qantas told me I have to sort out the accommodation ourself as there is no staff at the airport to help. So my whole none English speaking family just been left there out to dry at 1 am. I have to rang around the hotels to find someone who has vacancy and 24 hr reception to settle the family. After 7-8 calls I finally find something, only was able to settle the whole family in at 2.30 am.
My whole family has been at the airport since 5 pm and didn’t get any food from qantas as when they took off, they said they run out of time to do food service. No staff was available to assist and settle passengers got stranded due to their own delay.

The fallowing day I have spend the whole day on calling between airlines ( Qantas and the original connection airline) both airline both party pretty much has said it’s not their problem, I need to contact the other company… the list just goes on. Qantas did finally send me a link to choose an accomodation as the earliest flight they can get them back on is not till the night after at 10 pm. But when clicks into the page, it just showing no rooms available, so here we go another night of expenses on our own.
Also with the luggage they did not tell me what they going to do, when I finally manage to ask about 3 different staff he inform me it is still in brisbane airport, they will just send it on with the family when they eventually can get on a flight. No offering to drop the bags off to them, so they can fresh up, and if they want the bag now, I will have to call the baggage claim myself, and they probably going to ask them to pick up on their own. The family eventually just decided to leave it to save further hassle.
Qantas’s customer service and problem management is just appalling, yes we all understand flights delay or cancellation happens from time to time, but there is pretty much no help from them apart from booking the passenger on to next flight available (which is what they supposed to do)
The whole family including myself has been left frustrated and traumatised through out the whole scenario, even to make a complaint they just told you to go online. I will not be travelling with Qantas anytime soon or ever just for my own insanity.",April 2024,-1,-1,-1,-1,-1,-1,-1,-1
1,Absolutely shocking,"Literally the worst experience I have ever had flying.
Booked direct flight from Auckland to Melbourne 6.30 am departure. We live in South head so had to leave at 2.30 am to be at the airport on time. Boarded on time, Horrendous takeoff sliding and bumpy, not at all normal. Announcement around an hour into the flight in a nervous voice saying they had technical difficulties and had to return to Auckland. Obviously having to dump fuel on the way back. Horrific landing almost face planting the seat in front but also a little relieved to be on the ground. Watched for several hours while they took the engine cover off to assess the problem. I am assuming we lost an engine given the bad takeoff and landing. Nervous the whole plane hoped we wouldn't be rebounding the same plane and indeed we didn't. 4 pm that afternoon we boarded another plane to Sydney with a stopover and then onto another plane to Melbourne. We arrived losing an entire day of seeing our daughter before she leaves to go to Europe , we were only staying for 3 days total.
We arrived at our hotel 9.30 that evening totally jet lagged after what should have been a three and a half to four hour flight.
At least we didn't die I guess.
Then on our return flight again delayed, The plane had left Auckland and had to return due to issues ( probably the same plane we left on) Finally the plane arrived then we were told there was an airport curfew and if we didn't board the plane by 8pm we would not be able to fly.We had been watching our bags on the tarmac waiting in the rain luckily we had wrapped them and then a mad panic to get the passengers from Auckland off refuel and us on... boy people can be slow and have no understanding of the urgency. Exhausted and glad to be home, although devastated we lost an entire day with our daughter, I will never fly qantas again.",May 2024,1,1,1,2,1,2,1,1
1,Qantas domestic never on time,"I had a 6am flight from Canberra to Melbourne.

We were advised flight is delayed due Fog, where as Virgin flights were able to take off and land

Poor customer service and bad advise to customers",April 2024,-1,-1,-1,-1,-1,-1,-1,-1
2,Being Gold Member is not Worth the Effort,"I have put some effort into getting to the Gold Membership paying more than other airlines to get access to lounges and have more luggage, but now they are restricting the benefits of being loyal to Qantas. In the lounge only allow to stay for a short period of time and since I am using another airline I have to pay for extra luggage",May 2024,3,3,2,4,1,3,3,2
4,Improving service. Safe flying.,"I almost chose another airline as Qantas let us down majorly 2 years ago with a terrible service throughout the flight. I decided to give another chance. I am glad I did as it had improved on our last experience. The food was better, the entertainment could have been a bit better but wasn't bad. The service on QF1 was a bit of a let down. I had a staff member keep missing us on the drinks and meals so when I called her after she went past us totally missing us she didnt apologise just told me to wait. Not a good response to a poor job being done really.
On the whole the plane was clean and the flight was very smooth and I felt the captain was really good and kept us all up to date and tried to get out of any bumpy parts, which I am most thankful for as a nervous flyer.
Mostly I choose Qantas because it is usually a smooth flight and I find their captains are always very good at communicating. This is why I will choose them again over others. I feel safe.",March 2024,-1,-1,-1,-1,-1,-1,-1,-1
1,QANTAS Business Class C-,"We decided to use our Australian airline to reach Singapore in Business Class. It was a poor choice. The seats were no where near as comfortable as those on our next flight with Turkish Airlines. The cabin service was was minimalist and the much touted meals service was non existent. 4 meals were on offer but by the time they reached us it was down to one! So no choice at all. The food allegedly designed by Neil Perry, was not even a C- rating. Tired and tasteless stodge. He should check, as his product name is being used in vain. Our next flight with Turkish Airlines was a valuable comparison. Attentive, happy service, wide choice of delicious food and outstanding sleeping facilities. Another reason to take QANTAS off you flight choices!",May 2024,3,3,3,2,1,3,3,1
1,Bad experience,"-unlike other airlines that provide free seats allocation for family with babies, Qantas requires us to pay
- rude customer service and keep saying cannot understand what I'm saying even I try to spell out to them letter by letter (I was told they as Racist and this is so true)
- only can check in 24hrs before. Forced to purchase flight seats and they are very expensive
- this will be my very last time taking Qantas",May 2024,1,1,1,1,1,1,1,1
1,Need improvement BIG TIME!!!!,"Disappointed with all the service from start to finish. Instead of boarding at 10.55 am, we waited until 12.30 pm. We were on our seats at 1.15 pm and at 2.08 pm ready to fly. They had some technical issues.

This was an international flight (14.15 hrs flight time) with nothing provided...eg. socks (for more commodities in economy class).

The food was horrible, not eatable...people were commenting that the same food was served on domestic flights too.
The same story was on the way back, only we departed on time. This time we bought something to eat on the plain.

Qantas has to be ashamed of flying overseas with a service like this. Fly attendants didn't show any enthusiastic customer service...acting like robots. If you asked them something about food, they looked at us surprised; no comment on any of our questions. Very well trained!!!

This is the worst experience ever. It's a time for Qantas bosses to sit in economy class and fly overseas.

We are all very proud of our beautiful Australia and do not deserve a bad reputation, because of Qantas. The first impression is the last one!",April 2024,3,3,4,1,1,2,1,1
1,Damaged baggage,I flew from Jakarta to Melbourne to Brisbane to Sydney and back to Jakarta. The handling staff damaged 2 of my Delsey luggage bags...the moment I wanted to file a complaint I had a strong feeling they were not going to do to anything because of their attitude....and how correct I was.....they asked me to complaint through the app and wait....after a week or so they contacted me and asked me to send them details and so on....emails in and out and after having spent weeks replying their email they agreed to pay me a mere fee of 27 Aud and when I wanted to fill their form it said my case has been closed since I took a week to submit the form as I was out of town for work purpose.....what sort of airline does this? After going through so much of trouble it was a complete waste if time....and it's not that their ground service is good...nor is their flight service out of this world....I would recommend u as a passenger to avoid taking this airline,April 2024,2,3,2,2,3,3,2,3
1,Qantas has a terrible complaints service! Passing the buck 101 !!,"Qantas lost my bags on the way to a surf trip in bali , I had to get a couple more flights from Jakarta to the island I was going to be at, I got to Jakarta and my bags were not there ! it was so late at night and I was by my self, I waited around for hours and asked people and no-one could figure out anything. I had to proceed to my hotel for the night at 2am in the morning with literally the clothes on my back I had nothing, both my surf boards and all my clothes were in the bags, I was so upset. I had to get on the phone to my mother in Australia to have her call qantas, they could not tell her a thing! She rung so many times and they were clueless !!! I later found out on the island that the bag had never left Brisbane ! I finally got the bag thanks to the help of the locals in Indonesia, they were so lovely as I was so stressed out, this was my first solo trip as a young female and Qantas was not helping one bit. I had lodged a complaint when I got home. They have taken months I mean 6 months to get back to me and all they can say is ""its not our fault"" contact the Indonesian airline. They have no accountability for what happened, the stress they caused and zero skills with customer service ! Taking months to get back to someone and not even taking one bit of responsibility ! I am disgusted, I paid extra so Qantas could look after me on this trip I was going to go with a different airline but I thought Id be okay with them !! Absolutely will never be flying with them again!! HORRIBLE !!",October 2023,2,1,1,1,1,2,3,2
2,9 hrs on tarmac no food or water,Qantas has become one of the worst airlines in the world. Their on board staff I have found to be pretty good but their call in center is terrible - it used to be such a pleasure calling Qantas years ago and I also enjoyed the Australian accents. On this particular flight we left Bris to have a medical emergency and landed at Noumea. We were on the tarmac for 9 hours and the staff refused to give us food or water. Furthermore no recompense was given. We flew back to Bris and our flights were reassigned the next day. absolutely appalling behavior.,July 2023,2,2,3,1,1,2,1,1
1,Qantas Jhb Syd flights always late,"Qantas flights from Jhb are nearly always late leaving. Returning to Sydney from Melbourne I have a 90% rate over multiple trips of flghts being cancelled or late.
Since SAA Perth flight disappeared this is only direct flight. Qantas never apologises. Always blames something else. Be prepared for very high stress with any transit flight",March 2024,2,2,2,1,1,2,2,1
1,Don't pay the extra $$ not worth it.,"Got on to the flight Sunday morning and was on the windows seat.
A passenger that I beleive was drunk as his breath smelt of booze was seated next to me all he did throughout the flight was lean on to my side and sleep at times groping and falling on me.
I don't understand how he was allowed on the plane in the condition he was in.

On the way to Perth on the previous flight I had another male passenger approximately 6 feet tall and really broad although apologising to me had the same thing happen to me to being crushed up against the windows.
The annoying thing was there was seats without the middle seat being filled free.
You think they would put someone of that size in the seat with the middle seat spare.

9 and a half hours of uncomfortable flying I understand it's economy but I did pay for a seat not half a seat.
I do not expect to arrive at my destination with back pain because people can't be better sorted.

I will go with the cheaper carrier next time not worth paying the extra $$.",May 2024,2,1,1,2,1,3,3,1
1,Very poor customer service,"DON'T use Qantas.
Australians that we met on our long trip were surprised we had used Qantas and said that Qantas now has a terrible reputation in Australia. They damaged my case en route, made me jump through hoops to make a claim and then told me that I should have reported to staff at the time of collection (even though there was no Qantas representative at Broome airport when we arrived late in the day!).
Very poor service and client care attitude.",February 2024,4,3,3,1,3,4,5,3
2,Needs to lift their game,"The airlines level of service leaves a lot to be desired. Lack of competition in domestic routed have resulted in some entitled staff that feel they can treat customers poorly with no consequence. Not sure if it is a different generation of staff in the cabin that seem disinterested and kept skipping over seats when providing service. Also kept dropping things including one on my head...almost like they were drunk. The check in staff in Brisbane is no existent with the bag drop technology which kept glithcing and we kept being asked to try a different machine. Even after the person on the ground tried for himself and realised it doesn't work, we had to queue up with the one single manned counter in the airport.",March 2024,5,5,1,1,2,2,1,3
1,False advertising,Horrible experience with Qantas. The plane was literally falling apart. Seats were held together with tape. The entertainment system did not work for an almost 16 hour flight. They are falsly advertise their services.,May 2024,1,1,1,3,1,1,1,1
1,Choose a decent Airline not Qantas,This is a discrase for business passengers. Its old school seating with aggressive Jurassic flight attendants. I never added the flight number Tripadvisor did.,February 2024,5,5,5,1,1,1,1,3
1,Try every other airline first,"Book Qantas and that but you on their Bellshill Jetstar airline. In the lineup for check in. 1 lady serving lineup so long and ome close to closing off they told people should of got there earlier. We lined up before they even opened. Plane left late. No service. Booked international back to home but had to get luggage and Check back in again.
Qantas for someone who was a loyal customer over the last year of this rubbish like being pushed to Alliance flights. Think its time to find a new airline
To add they brought one flight forward a few hours so lost almost our last whole day on holidays.... Thanks...",May 2024,2,2,1,1,1,3,1,1
2,Half of the seat,"The benefit of being a platinum with qantas, you only get half a seat.
The plane was good surprisingly, and it would be a good flight if I had a seat to myself and didn't have to share it with an oversized passenger next to me.",May 2024,2,4,4,4,2,3,4,2
1,Very Poor Airline with average service,Once great Airline now very poor. I avoid flying Qantas even if it costs more. Management dont care and have questionable practices,February 2024,2,2,1,1,1,2,2,1
1,Absolutely disgusting company and service,"Customer service is absolutely shocking! Complaints department is absolutely shocking! Do not EVER buy gift cards from Qantas as they don't allow you to add your full name to the voucher but then you cannot book the flight you want because your full name is not as per your passport.
Complaints department refused to assist and referred me back to customer service! what a joke! Company refuses to add my middle name to the voucher and refuses to provide a new voucher with my name meaning the $150 voucher my friend bought me for my birthday cannot be used at all!",April 2024,1,1,1,1,1,1,1,1
1,Inferior Entertainment System.,"Absolutely appalled with the new Qantas Entertainment System. There was no screen in the back of the seat, but all passengers were provided with an I-Pad which was in the seat pocket, which had to be clipped into the seat back. However, the I-Pad screen was absolutely filthy dirty ... fingerprints all over ... definitely a health hazard.
In addition, the system was definitely inferior to the previous system: very little music, no map to follow, no camera view ... and streaming of film was slow /stop.
We deserve better than this on long flights.",March 2024,3,3,1,4,2,1,4,3
2,Poor service and not like it used to be,"Been a long term flyer, but been a few years from flying Qantas. Flight to Auckland, wasnt good. Took over 2hrs to get the food service out to a 737-800, no urgency from the staff, and the isle was blocked by two trolleys the whole time. The food 'process' didnt help them, with each meal requiring 5 pulls from the trolley to create a little stack of plastic and paper packets... not efficient. They also must have made 6-8 trips back to the galley to get replenishments for the trolley. When they got to me, was only vegtarian option left. Also found the seat pretty tight, more like a Jetstar seat so that was disappointing. As an Aussie, the old motivation of flying Qantas cause it was a good, has gone for me.",May 2024,-1,-1,-1,-1,-1,-1,-1,-1
5,Best Airline In Australia,"Qantas provided excellent service both on board and on the ground. My flight was not delayed, thankfully. As a frequent flyer, I frequently receive quality service. The staff were nice and the meat pie was very filling. I would say no other Australian carrier can get up to this standard. No other carrier provides a complimentary meal AND drinks. No other carrier has so many partners that being a frequent flyer isn't a waste. No other carrier allows 23kg of checked luggage FOR FREE and 14kg of carry-on baggage. No other carrier provides exceptional service all the way through your journey.",December 2023,5,5,4,5,5,4,5,5
3,A frank but fair review of QF295 Sydney to Bangkok economy class May 2024,"Booked a package holiday through Qantas travel from Adelaide through to Bangkok for 7 days on 1 May to give myself a special treat after leaving a job I'd been in for 13 years. Unfortunately, the 6am flight from Adelaide to Sydney was delayed coming into Sydney due to congestion in Sydney, meaning I had to literally run to get onto the 9.40am flight to Bangkok and couldn't spend any time enjoying the Qantas lounge in Sydney which was disappointing but not the airline's fault. Once on the flight, it was then delayed for an hour due to a couple of no-show passengers - also annoying - and it arrived late into Bangkok...
Qantas flies a wet-leased Finnair Airbus A330 from Sydney to Adelaide. This means the crew are primarily Asian Finnair crew not Qantas crew, but you will get Qantas entertainment and magazine (although it was an out-of-date April Qantas mag) and a pillow and blanket. The economy seats are in a 2x4x2 configuration and are very small - smaller and with less legroom than a standard economy seat on a domestic 737 aircraft and there is a very thin bar between the seats, so little privacy. Fortunately, I had seat 33J no one sitting next to me and this was a day flight or else for me it would have been unbearable. I would liken the economy service on this flight to Jetstar economy. Don't expect to get an amenity kit or wine poured from a bottle. You will get a small plastic bottle of wine just like on a Qantas economy flight and the staff pretty much switched off and remained at the back of the plane after they'd done the lunch service. The food itself was average too. You can see the menu and its presentation in my photos below. Not even served on a proper tray. If Qantas wants to compete - and charge as it does - like a full-service international airline then it needs to lift its economy service on this international route to at least the standard of other major full-service airlines - like the Qatar Airways economy service which is terrific. To be frank, if I'd known what this flight was going to be like I would have flown Jetstar to Phuket in economy and saved some cash and points.",May 2024,1,2,3,3,1,3,4,3
2,Poor service,"Our decision to fly with Qantas is primarily due to their direct route from Sydney to Johannesburg. While the aircraft is clean, we've found the food and service to be poor. Additionally, we've encountered challenges with their level of accommodation, especially when traveling with kids. On our most recent flight, we experienced water dripping on us and inadequate air conditioning, making the journey uncomfortable towards the end.",April 2024,2,3,4,2,3,4,4,2
1,Crap backup service - this isn't a 'premium' airline anymore,"Probably the most rude and unhelpful call centre I've come across - considering I'm travelling business class - time to dump QF and start using Air New Zealand - at least they are polite and their website works well.

Expect lots of empty seats in the coming months as travellers such as myself dump Qantas.

And fix your website - don't tell me to call a number, then I call and you tell me to turn roaming on instead - dammit, you're supposed to be an international airline!

Frequent Flyer member since 1995, disgruntled and ready to put QF in the 'junk airline' bucket.",May 2024,3,3,1,1,1,2,3,2
4,Would recommend,"I hadn’t flown Qantas for some time but was impressed by the superb cabin crew. They are attentive and work incredibly hard to accommodate passengers. I felt like a paying passenger and not a number. The meals were also better than some other airlines I have flown, which is always welcome.",April 2024,4,4,3,5,4,5,5,5
2,Qantas - Not what it used to be,"My wife and I travelled to (and from) Dallas from Sydney in March 2024. Following our check-in in Brisbane, which went smoothly and had our bags checked through to Dallas, we had a domestic flight to Sydney.
Upon arrival in Sydney (domestic terminal), we had an half hour or so wait for the international transfer bus - this was quite busy and not well organized. Upon arrival at the international terminal we proceeded through immigration and security, which again was very busy. After these formalities, we went to the Qantas Sydney international business lounge, it was quite busy but reasonably well appointed for the start of our trip.
Boarding was good with business class customers following those needing assistance and through the dedicated boarding lane. We were seated in 7E and 7F, centre seats. The seats are a good size with some storage on the right hand side for small items (book, phone, tablet, etc.). A water bottle and some headphones were in the side storage too. I have my own NC headphones, so didn’t get to try the Qantas ones.
Seat was comfortable and quite spacious, lighting is good with several options. A pillow, mattress (of sorts) and light blanket were provided in plastic wrap. These two centre seats have a privacy scree which can be lowered where privacy is not required. Unfortunately, the screen between these seats would not stay down until the cabin manager wedged it down.
Cabin staff were pleasant but not overly helpful, my wife needed assistance lifting a bag into the overhead locker but the female flight attendant refused to assist, instead another passenger assisted. A welcome drink (juice or champagne) was offered prior to take off.
A dinner and breakfast menu was provided and breakfast selections made in advance. Food was good but the drinks service was well below what you would expect for a business class cabin. Aside from wine with the meal (and a very limited selection of white wine at that), no other drinks were offered inflight (this was the same on the return flight). Overall, the food and drink service on both QF7 and QF8 were below standard. A previous business class flight on this route on the A380 before COVID was far superior to this flight.
Bedding was left to us to work out with no assistance or advice from cabin crew at all. On our previous A380 flight, the bed set up was done for us, so this was another customer service negative. A minor design criticism of the bed position was that the seat behind left the footwell light on and light leaked through the gap in the plastic making it somewhat difficult to get to sleep.
The toilet was generally clean but the waste bin full on several occasions.
The flight itself was good and was on schedule arriving in to Dallas in 14 hours.
Overall, the flight was let down by the poor customer service and personal attention you would expect in business class. Significant improvements can be made. As the Australian national carrier with fairly limited competition, it is my hope that under the new CEO, Qantas drives for some urgently needed inflight customer service improvements.",March 2024,4,4,5,2,2,3,4,3
2,Comfortable but lacking in service and attention to detail,"Very comfortable cabin, clean and tidy but the service below average. No water offered until 3 hours after takeoff even though requested. Menu needs attention particularly quantity as half of the things I ordered were not available and the flight attendant said they loaded wrong items too. Comfort is great service lacking with no care or details",April 2024,5,5,4,2,2,5,5,2
2,Freeze your way to London,"I chose to fly Qantas to save a couple of hundred dollars by not flying with my favourite airline (Singapore Airlines). It was a long haul flight from Melbourne to London and I was travelling alone. The worst feature was the intense cold in the plane and the ""Blankets"" are made from some sort of recycled plastic and have no warmth. The plane was also kept extremely dark so it was like flying in a cold dark box. The entertainment was rubbish and hard to figure out where to plug in the headphones in total darkness. I ordered a special meal and it was hot and tasty but no matter how much the cost saving I will never go by Qantas on a long haul again.",April 2024,1,3,1,3,3,4,4,4
